NoB; FPS; CoC
282;54;41668
282;54;41715
283;54;42041
283;54;42138
283;54;42202
284;53;42489
284;53;42586
284;53;42707
285;53;43060
285;52;43142
285;52;43250
286;51;43587
286;51;43723
286;51;43824
287;51;44161
287;51;44274
287;51;44324
288;51;44662
288;51;44757
288;51;44814
289;49;45157
289;48;45263
289;48;45387
290;48;45774
290;48;45942
290;48;46092
291;48;46510
291;49;46643
291;49;46744
292;49;47220
292;49;47275
292;49;47329
293;48;47640
293;48;47722
293;47;47758
294;48;48120
294;48;48208
294;47;48298
295;47;48681
295;47;48757
295;47;48802
296;48;49163
296;47;49191
296;47;49241
297;47;49639
297;47;49708
297;47;49818
298;48;50152
298;48;50194
298;48;50193
299;48;50569
299;49;50630
299;47;50712
300;45;51119
300;43;51275
300;42;51424
301;41;51877
301;41;52030
301;40;52170
302;39;52499
302;39;52575
302;38;52610
303;38;52993
303;39;53086
303;39;53126
304;39;53483
304;39;53556
304;40;53542
305;40;53914
305;40;53991
305;40;54084
306;41;54490
306;41;54580
306;41;54694
307;41;55070
307;41;55176
307;41;55268
308;41;55670
308;42;55763
308;42;55862
309;42;56257
309;41;56436
309;40;56575
310;39;57047
310;38;57242
310;39;57430
311;40;57913
311;42;58156
311;44;58297
312;44;58605
312;46;58606
312;47;58635
313;47;58988
313;46;59056
313;45;59161
314;44;59533
314;44;59676
314;44;59733
315;44;60077
315;44;60161
315;44;60262
316;44;60689
316;44;60760
316;44;60804
317;43;61101
317;42;61148
317;41;61178
318;41;61592
318;41;61640
318;41;61689
319;41;62029
319;42;62104
319;42;62185
320;43;62521
320;45;62595
320;47;62720
321;47;63058
321;47;63113
321;47;63155
322;47;63500
322;46;63612
322;46;63680
323;45;64058
323;45;64152
323;47;64277
324;49;64670
324;50;64765
324;48;64850
325;45;65302
325;44;65494
325;44;65727
326;44;66263
326;44;66467
326;43;66562
327;43;66962
327;43;67108
327;43;67205
328;42;67549
328;42;67682
328;42;67783
329;42;68185
329;42;68274
329;41;68378
330;41;68773
330;40;68941
330;40;69128
331;40;69585
331;40;69827
331;40;70034
332;40;70447
332;40;70570
332;40;70723
333;41;71123
333;41;71177
333;41;71221
334;41;71636
334;41;71676
334;43;71755
335;45;72122
335;46;72165
335;46;72238
336;46;72532
336;46;72589
336;46;72653
337;45;73022
337;45;73172
337;46;73294
338;48;73698
338;48;73808
338;48;73880
339;48;74244
339;48;74377
339;48;74478
340;48;74847
340;49;74909
340;50;74978
341;50;75277
341;50;75309
341;50;75322
342;50;75657
342;50;75669
342;50;75709
343;50;76025
343;50;76112
343;49;76159
344;49;76535
344;49;76619
344;49;76715
345;49;77128
345;49;77200
345;49;77302
346;49;77672
346;49;77791
346;50;77886
347;51;78268
347;52;78320
347;52;78381
348;52;78771
348;52;78880
348;52;78948
349;52;79352
349;52;79441
349;52;79523
350;52;79874
350;52;79990
350;52;80090
351;52;80446
351;52;80513
351;52;80610
352;
